year,month,day,hod,temp,pressure,direction,dirfixed,speed
2015,7,28,20.516666666666666,75.5,30.1,344.0,344.0,5.0
2015,7,28,20.533333333333335,75.4,30.1,337.0,337.0,5.8
2015,7,28,20.55,75.3,30.1,331.0,331.0,5.3
2015,7,28,20.566666666666666,75.2,30.1,337.0,337.0,6.1
2015,7,28,20.583333333333332,75.2,30.1,343.0,343.0,6.9
2015,7,28,20.6,75.1,30.1,341.0,341.0,6.9
2015,7,28,20.616666666666667,75.1,30.1,340.0,340.0,6.4
2015,7,28,20.633333333333333,75.0,30.1,340.0,340.0,7.0
2015,7,28,20.65,75.0,30.1,340.0,340.0,6.9
2015,7,28,20.666666666666668,75.0,30.1,339.0,339.0,6.7
2015,7,28,20.683333333333334,74.9,30.1,335.0,335.0,6.1
2015,7,28,20.7,74.8,30.1,325.0,325.0,4.8
2015,7,28,20.716666666666665,74.8,30.1,337.0,337.0,6.3
2015,7,28,20.733333333333334,74.7,30.1,338.0,338.0,5.7
2015,7,28,20.75,74.6,30.1,337.0,337.0,6.1
2015,7,28,20.766666666666666,74.6,30.1,340.0,340.0,4.7
2015,7,28,20.783333333333335,74.5,30.1,338.0,338.0,6.1
2015,7,28,20.8,74.4,30.1,347.0,347.0,5.4
2015,7,28,20.816666666666666,74.3,30.1,344.0,344.0,5.0
2015,7,28,20.833333333333332,74.3,30.1,353.0,353.0,5.0
2015,7,28,20.883333333333333,74.0,30.1,348.0,348.0,6.3
2015,7,28,20.9,73.9,30.1,349.0,349.0,5.8
2015,7,28,20.916666666666668,73.8,30.1,349.0,349.0,5.5
2015,7,28,20.933333333333334,73.8,30.1,341.0,341.0,6.2
2015,7,28,20.95,73.7,30.1,340.0,340.0,4.5
2015,7,28,20.966666666666665,73.6,30.1,342.0,342.0,6.3
2015,7,28,20.983333333333334,73.5,30.1,341.0,341.0,5.8
2015,7,28,21.0,73.5,30.1,343.0,343.0,6.6
2015,7,28,21.016666666666666,73.4,30.1,341.0,341.0,6.1
2015,7,28,21.033333333333335,73.3,30.1,339.0,339.0,5.4
2015,7,28,21.05,73.2,30.1,325.0,325.0,5.0
2015,7,28,21.066666666666666,73.1,30.1,323.0,323.0,5.8
2015,7,28,21.083333333333332,73.1,30.1,332.0,332.0,4.7
2015,7,28,21.1,73.0,30.1,328.0,328.0,4.8
2015,7,28,21.116666666666667,72.9,30.1,327.0,327.0,3.7
2015,7,28,21.133333333333333,72.7,30.1,315.0,315.0,4.5
2015,7,28,21.15,72.6,30.1,318.0,318.0,4.7
2015,7,28,21.166666666666668,72.6,30.1,321.0,321.0,4.9
2015,7,28,21.183333333333334,72.5,30.1,315.0,315.0,4.5
2015,7,28,21.2,72.5,30.1,307.0,307.0,4.5
2015,7,28,21.216666666666665,72.6,30.1,302.0,302.0,4.6
2015,7,28,21.233333333333334,72.6,30.1,305.0,305.0,5.2
2015,7,28,21.25,72.6,30.1,296.0,296.0,4.1
2015,7,28,21.266666666666666,72.7,30.1,304.0,304.0,5.1
2015,7,28,21.283333333333335,72.7,30.1,288.0,288.0,4.0
2015,7,28,21.3,72.7,30.1,274.0,274.0,4.7
2015,7,28,21.316666666666666,72.7,30.1,287.0,287.0,4.8
2015,7,28,21.333333333333332,72.7,30.1,292.0,292.0,4.6
2015,7,28,21.35,72.6,30.1,269.0,269.0,6.9
2015,7,28,21.366666666666667,72.5,30.1,257.0,257.0,4.5
2015,7,28,21.383333333333333,72.5,30.1,262.0,262.0,6.1
2015,7,28,21.4,72.4,30.1,261.0,261.0,4.9
2015,7,28,21.416666666666668,72.2,30.1,263.0,263.0,5.5
2015,7,28,21.433333333333334,72.2,30.1,263.0,263.0,5.4
2015,7,28,21.45,72.0,30.1,256.0,256.0,6.1
2015,7,28,21.466666666666665,71.8,30.1,257.0,257.0,5.9
2015,7,28,21.483333333333334,71.7,30.1,253.0,253.0,6.2
2015,7,28,21.5,71.7,30.1,275.0,275.0,5.4
2015,7,28,21.516666666666666,71.7,30.1,258.0,258.0,5.1
2015,7,28,21.533333333333335,71.7,30.1,259.0,259.0,5.2
2015,7,28,21.55,71.6,30.1,254.0,254.0,6.7
2015,7,28,21.566666666666666,71.6,30.1,255.0,255.0,7.2
2015,7,28,21.583333333333332,71.5,30.1,258.0,258.0,8.3
2015,7,28,21.6,71.5,30.1,254.0,254.0,6.8
2015,7,28,21.616666666666667,71.4,30.1,271.0,271.0,8.5
2015,7,28,21.633333333333333,71.2,30.1,271.0,271.0,8.1
2015,7,28,21.65,71.0,30.1,273.0,273.0,7.5
2015,7,28,21.666666666666668,71.0,30.1,283.0,283.0,6.6
2015,7,28,21.683333333333334,70.9,30.1,257.0,257.0,7.6
2015,7,28,21.7,70.8,30.1,260.0,260.0,6.3
2015,7,28,21.716666666666665,70.6,30.1,251.0,251.0,6.4
2015,7,28,21.733333333333334,70.5,30.1,258.0,258.0,6.9
2015,7,28,21.75,70.4,30.1,257.0,257.0,7.4
2015,7,28,21.766666666666666,70.4,30.1,257.0,257.0,6.2
2015,7,28,21.783333333333335,70.2,30.1,256.0,256.0,5.9
2015,7,28,21.8,70.0,30.1,261.0,261.0,7.1
2015,7,28,21.816666666666666,69.8,30.1,251.0,251.0,9.1
2015,7,28,21.833333333333332,69.6,30.1,256.0,256.0,8.4
2015,7,28,21.85,69.2,30.1,251.0,251.0,8.6
2015,7,28,21.866666666666667,69.2,30.1,248.0,248.0,8.9
2015,7,28,21.883333333333333,69.2,30.1,251.0,251.0,9.6
2015,7,28,21.9,69.2,30.1,254.0,254.0,7.8
2015,7,28,21.916666666666668,69.1,30.1,258.0,258.0,9.6
2015,7,28,21.933333333333334,69.2,30.1,258.0,258.0,8.2
2015,7,28,21.95,69.2,30.1,274.0,274.0,6.7
2015,7,28,21.966666666666665,69.3,30.1,257.0,257.0,7.9
2015,7,28,21.983333333333334,69.3,30.1,256.0,256.0,8.2
2015,7,28,22.0,69.2,30.1,257.0,257.0,9.2
